,username,tweet,likes_count,label
5403,bayasdari,@ist111110 сахиустай уулзаж үзсэн хэн бгаан энчодоо,0,1
5405,bayasdari,@ist111110 Далай ламаас асу хө,0,1
5407,bayasdari,@ist111110  Далай ламын хэлснийг баячууд нь яагаад мөрддөггүйн. Тэхээр хэнд зориулсан сургаал болов,0,1
5611,bilgvvn,"-Монголд 1 сонин нэртэй дэлгүүр нээгдчиж
-ямар?
-Хүнүү? Мал уу? гэнүү
-Тэнэгтээд бай Хүннү молл гээч. Гэшшшш",9,1
5668,052383azaa,💐 pic.twitter.com/i9qKT1mn0q,0,1
5745,mmaralaa,Ingej balaitah gejjj.... pic.twitter.com/Hw7cTo922B,3,1
5830,d_tumba,1 төгрөг=1доллар гээд мөрөөдөн тэнэгтэж үзлээ сарынхаа цалингаар 570 аваад гайгүй байр авлаа үлдсний яахаа мэддэггүй https://twitter.com/mongolhumvvn/status/591585860224618497 …,4,1
5934,052383azaa,Oookey https://twitter.com/zdavaajav/status/591564854705676288 …,0,1
6067,badammuugii,Maliin hulgaich nar barigdjee,0,1
6157,budgarig_bor,Ноён уулын хаадыг сэрээж уулздаг агуу бөө нар минь Дорнын их талд минь хур оруулж үнэн хүчээ харуулаасай билээ.,0,1
6256,_gavar_,Тэнэгтээд бай,0,1
6453,ztugu,@tsbat_IT sain harval balai shiidver hamgiin turuund heregjeed baidgiin shig...,0,1
6510,bbb942,@G_Bayarsaikhan ажлаа хийж чадахгүй бж юун зангиа тэнэг нь тэндээ шүү,0,1
6662,badgaa2,@OtgonbayarY Угтаан бол Ахуй Ухамсар гээч гайтай 2 үг л хүн төрлөхтнийг баруун зүүн гэдэг 2 туйлд хүргэсэн.  @batt1972 @odbayare,0,1
6827,bimergen,Сүхийн талбайн урдуур хойшоо эргэх машан 200м орчим газар заавал 2дугаар эгнээрүү орж байгаад дохиогоор 1рүү шилждэг балай дүрэм байнаа,0,1
6891,ariguunb,@hovorerdene хулгайч өөрийгөө хулгайч гэж боддоггүй тохиолдолд хэцүүм даа,0,1
6894,ariguunb,@hovorerdene хулгайч нь хулгайчаа хийг гэж үү? Хийх хүн олдохгүй шт гэсс,0,1
6948,alagshagai,"@Urnaa_2014 Бас тийм тэнэг хүмүүс байгаа шүү, нээрээ. @sdavaa2002",0,1
7015,budkhandz,"Өндөр тавцан дрх тэнэг өндөр уулын дрх хүн мэт 
Түүнд бүх зүйл жижиг харагдах ба тэр өөрөө бүүр жижигхэн харагдана",0,1
7126,khuslen0803,@bolodm намайг тарган гэдгийг хацарнаас минь анзаараад загнаагүйд их баярлалаа найздаа;),1,1
7164,g_ganbaatar,@tsogt_tsogt мань мэтэд эрх нь алга даа эрх мэднлтэй нь иймэрхүү хэл дагуулж сайн гэрээ хэл ам байхгүй шдээ бид тэнэг биш биздээ,1,1
7208,_gavar_,"Хүүеэ тэр яах вээ ажил мажлаа хийгээчээ, аймрым бэ хямралтай бхад чинь тэнэг бхаа",1,1
7211,g_ganbaatar,@khurel_kh @dorjoobat хулгайч барих гэж байгаа юм уу ха ха,2,1
7337,mongolia_sun,"Аливаа юм хэмжээтэй
Аваа өгөөний тооцоотой

Р.ЧОЙНОМ
Тэнэглэл.бүтэлгүйтэл.хямрал нтр ч гэсэн гэж бодох.",0,1
7344,enjisq,Бяд ажил хийчихвий гэхээс л яс нь хавталздаг народ юмдаг уу даа ;-) pic.twitter.com/3HbDuebPqP,2,1
7419,munkhsukh_,@buyanaa_ts @DeTuvshintur хулгайч рекэт авилгалч  гээд гар нь татмарууд зөндөө бнаа,1,1
7431,bilgvvn,Автобусны кондукторыг андуураад буруу хүнд мөнгөө өгөх ямммммар тэнэг юм бэ ха ха,1,1
7654,uganmika2,@Sharavjamts_Ts @SukhbatMN естой арай ч дээ гэхээс оор юу гхийн бэ,1,1
7683,baysaaamaraa,"Амжилтын үндэс...

Хамгийн тэнэг алдаа бол ХИЙЖ ЧАДАХ ЗҮЙЛЭЭ хийхээс айх.

Өөрчлөлтөөс айх...",0,1
7725,g_ganbaatar,@mn_timur хятад хужаа үзэн ядалт биш шүү тэр бол шал өөр ойлголт хө. Бүтэн улс байх болгоомжлол ярьж байгаа ухаантай юм шүү,0,1
7897,uganmika2,@onigoonii_tsag ккк балай юмбэ,1,1
8052,lxagvanyam,барилга барих мөнгөтэй бол био 00 авчихдаггүй юм байх даа.хотын төвд арай ч дээ.хаана хандаж хэлдэг юм бэ туслаарай. pic.twitter.com/NoqxTiuoLq,0,1
8076,munkhsukh_,Фенг-Шүйг Хятад хулгайчид зохиосон яагаад гэвэл шөнө харанхуйд айлд ороод юмнууд нь хаана бдагийг мэдэж бх гэж,1,1
8112,tugchinqwerty,@chimeegvi @Bolortuya10 Temtsej chadaxgvi elsej vhvel ter ni tenegiin zaya,0,1
8137,cosplaylambda,"Дааа, и черт меня дернул встать в 7 утра? В итоге все равно опоздали жи.",0,1
8147,cosplaylambda,"И даже не кун... Итрига.. Это были мои подруги 
Нах так житьё если первый раз тебя ринесли домоц на руках т это были твои птздатые подруги.",0,1
8211,mmaralaa,"Хойлог гдг нь тэнэг хvний царай....😂😛😂 Яг даа, яг.. pic.twitter.com/JRg1lpHjga",8,1
8236,enhriinice,@Goolingooo huuuuuuuuuue 😡😡😡,0,1
8353,amrjrglb,@ganchimeg6163 Хэхэ яавал би гүнбалайтхав гээд толгойгоо гашилгаж бдымуу хаашаа юм. Намых нь нэр мэр цэцэрлэгийн хүүхднн@Sharavjamts_Ts,3,1
8359,amrjrglb,Тэнэг хүнтэй тэмцэж бүү марга гэж. УИХ-нхатай юугаа ч ярьхав дээ ккк,0,1
8382,amrjrglb,"Жиргээчдийн гишүүддээ өгсөн нэрс ийм бх юм
Гүнбалай
Сайханбалаг
Харвин
Бенз
ЗиЖинГо
Хиншүү
Баярмаасайхан",2,1
8393,amrjrglb,"Бид угаасаа тэнэгтдийн..# Мөрөөдлийн баг
Яавал бид тэнэгтхэв..# Самраачдын баг Том төслөө хөдөлгөөчэээ Самраачдаа",0,1
8452,munkhbld,"Ухаантай хүн бусдын алдаан дээр сурдаг.
 Тэнэг хүн өөрийн алдаан дээр сурдаг гэж ардын үгэнд сургадаг бөлгөө…",1,1
8534,g_ganbaatar,@ITGELT_Engineer @micheel_queen бяцхан тархи лаг тайлбарлаж байна ХОЙЛОГ тэнэг хүний царай аааййн,0,1
8559,lxagvanyam,"@batengineer сонгууль ойртож бгааг хэлэхүү ээлжлэж тэнэгтээд,шудрага хүний дүрд уралдаж тоглож улсаа самарнаа.",0,1
8571,g_ganbaatar,@bjhulan тэнэг банди юу болоод байгааг мэдэж байгаа ч юм алга бэлтгэл хангагч шиг ангайгаад ккк,1,1
8603,baingabishee,@tsoomkooo @tuvshinbat19 DM r moomdchooch gess,1,1
8625,ans3er,@SanchirT141 goodluck mongolian best player,0,1
8631,mmaralaa,"@hazelxsantos @SanchirT141 ooy.. gadaad ohiduud manai hund hairaa ilchleed bhin.. durgui hurchlee.. Bi ch bas hairtai shu, huuy Sanchira 😛😉",0,1
8633,enhriinice,@SanchirT141 @narkhan_0099 huleelgui yahawdee yuch bhguich gsn huleser baharhasaar l bnshdee😉😉😉,0,1
8661,mrbatmanlai,"@ToogooGovi @jsurenbayar 
""Манайх ил ус зайлуулах системтэй"" гэж НАЗГ-н нэг хулгайч хуцаж байсан нь саяхан мэт нүдний өмнө үзэгдээд өнгөрлөө",2,1
8688,alagshagai,@_g__t Тэнэгтсээр дуусах хорвоо юмаа? :-))),1,1
8741,miniiovoo, https://youtu.be/zT16pBRzmyA  Хvvxдээр наадсан тэжээвэр амьтангууд.,0,1
8836,munkhbld,Хүн бүр нь улс төр ярьдаг хачин балай систем Монгол улсад л буцалж байна.#гэнээ,2,1
8844,bayasdari,@khaliun08 арай ч дээ гомдмоорын @huvitsaa,0,1
8961,xalxan,"Идэш хайн тэнvvчлэх адуун сvрэг
# тvмэнцогт 
Photo by : Батгэрэл pic.twitter.com/c5LMa7TZdA",3,1
9022,lxagvanyam,"@PuujeeYa тэнэглэл,поп-зм 2-т хязгаар үгүй. Манай хэд дэлхийд байхгүй парадокс юм ярина дөө.",1,1
9145,dunjmaad,@Batsugar1 shal balai yum,0,1
9278,amrjrglb,Энэ балай УИХ-н даргаа солимоор юм дөө. Суудал зохидгүй амитан бна.Бондын мөнгийг гамгүй үрж бхад хорихгүй яасын. ТТ ажиллуулаачээ,0,1
9280,amrjrglb,З.Энхболдод таалагдах юм бна уу? Жагсаалтаар орж ирсэн балай юмнууд зайлаасааа. ТОМ төслөө хөдөлгөөчэээ,0,1
9473,enjisq,@batzorig2012 чамайг бодохын бол би хөргөгчиндөө архинтай. Сэтгэлтэй галтай хулгайч шүү,0,1
9528,aagii_5,Fever😳😡😷,0,1
9662,ariukaa55,"Мөрдөн байцаагч хулгайчаас асуусан нь:
-Чи хулгай хийж байх үедээ хөгшин настай эцгийгээ бодсонгүй юу
–Аавд таарах хувцас даанч байгаагүй юм",3,1
9764,bayasdari,@ariunkhishigG Ганбаа хараарай. Монголчууд бүгд тэнэг биш шөө @GanbaatarSain,1,1
9915,bganbaaa2,@SanchirT141 @richava @gsmpanatiko @barangayginebra @bgsmfanadicts,0,1
9957,m_munkhdul,"@MNGllBaatar @Unurtsetsegn @munkhalt энд хөдөлмөрлөж баяжсан хүмүүсийн тухай хэлсэн шүү :), хулгайч худалж авилгачид орохгүй л дээ",1,1
10229,sorhon_9,ugluunii meend pic.twitter.com/T14nRoUlNX,3,1
10292,g_ganbaatar,@Oojoom @Bolod_P @naranbolor @sedvanchig тэнэг өр тавиагүй бол ийм байдалд хүрэхгүй байлаа гол учир нь үүнд гэж бодно завсраас нь ???!!,0,1
10293,g_ganbaatar,@Naranbaatarl @NmgTseegii Үүнийг юуны дампуурал гэх вэ арай панаал судалгаа болов уу тахийг угааж 180 эргүүлчих юмаа.тэнэг өөртөө зөв гэдэг,0,1
10330,g_ganbaatar,@mn_timur @buyanjargal_ubs алдаагаа давтдаг нь ТЭНЭГ алдаагаа засдаг хүнмйг УХААНТАЙ  бусдын алдааг гаргадаггүйг ЦЭЦЭН гэх харьцуулж бж л ?!,1,1
10464,mmaralaa,"Gui, tegeed ene Block-luulah.. block-loh chin sadar samuun yavdal uu... yund ingej uhchih geed bdiin...?!! 😱😡 ingeel suud bolohiin...",0,1
10489,tugchinqwerty,@Demberel_S @ariunkhishigG @ParliamentMN Buzar luivarchin chi Mongol tvmniig teneg gej bvv anduuraarai,0,1
10549,shinebayar89,@TsogtgerelB Bayanselelnge hereggvi Baasankhvv baij bolnoo.Za tegeed namin jagsaalt hulgaich avilgachud bol yostoi hereggvi,0,1
10619,alagshagai,@tsagaan_gart Тэгж тэнэгтэнэ гэж юү бхав дээ.,0,1
10701,desdemona976,Nowshiin shulaaach taxini jolooch nar 😡😡😡,0,1
10706,ellekhulan411,@aylagch23 шал тэнэг ёстой л аргаа барсан хүний ажил,0,1
10827,tsetsegbadamp,Гэрийнхэнтэйгээ хоол идэж байхдаа ус аваад стаканаа далийлгаж тэнэгтдэгиймдаа гэнээ #copy,1,1
10828,mmaralaa,"@BilguunIN ingej tenegledgee boliosoi,",0,1
10829,mmaralaa,Mundagiiiiiin be?!! Mongol hun Mongoliin baharhal... Uzuuled ug @SanchirT141 pic.twitter.com/PEisVSPUK4,0,1
10894,lfc_mongolia,@HSujeta тэр чинь турхцэн байхыг нь харахаар нээх сонин цайраад тэнэг харагддын бишуу..гадаа тэмцээн дээр хумуус турхцэн байгааг нь харахаар,1,1
11113,g_ganbaatar,"Өөрийн алдсан алдаагаа давтдагийг ТЭНЭГ,өөрийн алдааг давтахгүй бол УХААНТАЙ,бусдын алдаанаас суралцдагыг ЦЭЦЭН гэх бид аль нь вэ?",0,1
11150,mrerdene,@dell_angel @tuvshinbat19 жаахан joke хийсиймаа.,0,1
11152,mrerdene,@dell_angel @tuvshinbat19 Гүй яахав дээ  эмэгтэйчүүд бол селфи хийгээл дагагчаа өсгөчихнө хөөрхий эрчүүд би хэцүү :-Р,1,1
11213,zola_13,@Orgilsodov юун 100 эрхэм. Мөрөөдлийн багт оруул ор. Их юм хиййсэн гэхийн тэгээд юу хийсэн юм гэхэр хийх боломж олдоогүү гэхийн ёст гүнбалай,0,1
11316,mrerdene,Саяхан хотын захиргаа сайн ажиллаж байгаа нтр гээл амаа олохгүй магтаж байсан нөхөр одоо хотыг үзэн ядаад л бүтээсэнг нь бүр сүйтгэцэн гэнээ,1,1
11324,shinee_o,@Enkhbayar_bat @ceomongol taanuud tegj l bitii tenegteerei de. Hugshchuul maani tuulidaj vhleeshde!!!,0,1
11481,mrerdene,"""Хүн мах идэхгүй бол хүчгүй бно гэдэг. Морь чинь мах иддэггүй амьтан ш дээ. Тэд яаж тийм хол давхиад байна""  Хамгийн тэнэг асуулт кк #Анужин",8,1
11537,enkhboldbaatar,Уул нь хөгжил тэнэгтэхгүй бхаас эхэлдгийм л даа. Тэнэгтэхгүйн тулд боловсрох хэрэгтэй болохоос гудамжаа угаадгийн биш,0,1
11635,ariukaa55,"Үзэн ядах хэнд ч амархан, хайрлах хэцүү. Илүү их сэтгэл, хүч, тэвчээр, ухаан шаарддаг.",0,1
11766,enhee_ts,Ийм тэнэг үйлчилгээтэй газат цөөн байгаасаа гуйжийж ганц американо авав #soodissapointed (@ Coffee Bean & Tea Leaf)  https://www.swarmapp.com/c/8dBOS2ZeuEQ ,1,1
11786,gangaa5,@BarsaaBarsaab @Aanxaa одоо манайхаан тэмцэх цагнь болсын шдээ. Ажил амидралаараа тоглуулчихаад нүдэн балай чихэн дүлий суугаад бхын,0,1
11821,g_ganbaatar,Хэлгүй залуу дохиж байна гэнэ-энэ ЭНХБАЯР шоронд орохдоо САЛААВЧ өгөөд орсон шоронгоос гарахдаа ЗАЛБИРААД гарч ирсэн тэнэг,0,1
12099,bayasdari,Арай ч дээ манайхан ийм ч харанхуй байх гэж https://twitter.com/DeTuvshintur/status/589014100153208832 …,0,1
12112,bayasdari,"@avirbayar хэн гоё гэв, новшийн тэнэг амбицаараа хар массын тархи угааж шүлсээ үсчүүлээд",0,1
12120,tugchinqwerty,"@ariunkhishigG @Uranburdag Cham shig mulguud modon tolgoi ch hereggvi tenegee nuuj, ichij amidar. Zu wa",0,1
12144,tugchinqwerty,@ariunkhishigG Tenegee gaixuulax hereggui shvv chi,0,1
12231,mrerdene,2 давхар луу өгсөхийн тулд 3 минут лифт хүлээж байгаа хүнийг тэнэг л гэх байхдаа тээ :Р,5,1
12302,dagiima,"елсеж болно, тэнэг байж болохгvй -Стив Жобс-",0,1
12455,htd7299,#FFMN @tsBolormaa @Natsagdulam_t @panduyaa @zdavaajav @batengineer @Dulmaa001 @hovorerdene @Hurlee2 @Tankhim123 @ETVTegshee,3,1
12479,nrita2,Ажилдаа хоцрохнээ бас. Ямар балайн бэ .,1,1
12494,amrjrglb,@jooloo544 үнэн үү балай юмаа,0,1
12529,tetemuujin21,"@Boldsaikhan_dr 
Үнэн сэтгэлээсээ зовлонтой төрх гаргаж этэр. Хожим үр хүүхдээ эднийхэнээс л хол байлгах юм. Балай тэнэг нь удамшиж л таарна",0,1
12626,ganganhul,Жиргээнд ийм тэнэг юм бичиж болдымуу ямар инээдтэйн сумтай гаруудвэ харин гэнээ таануудыг ма нз охин,3,1
12630,bolod_p,"@tsBolormaa бидэнд чи ""тэнэг"", чамд би тэнэг. Ямар ялгаа бна? Блокоо аваарай.! хохо @javzansuren @EmongoliaTsogoo @FTMongolia @minii_darkhan",0,1
12663,bolod_p,"@javzansuren найз аа, 
Тэнэг муу хүмүүстэй
Тэмцэж бүү марга. Б.Ринчэн.  
Ккк ;-) 
 @EmongoliaTsogoo @tsBolormaa @FTMongolia @minii_darkhan",1,1
12844,zulaakk,@ariunkhishigG хэхэ шал балай юм бодохым,1,1
12856,bayasdari,@hostelsmongolia арай ч дээ. Эрэгтэй хүнд бол ок. Эмэгтэй хүнд хэцүү ш тээ. Яадаг хүүрнүүд вэ@ariunkhishigG,1,1
12969,enkhmunkh17,@BaruunZaskhud тэр тэнэгүүд дахиаад эх орон гэж явахаасаа ичих байхаа,1,1
13084,budkhandz,Шударга бусыг эрс татгалздаг зоригтой бай яадгийн,0,1
13110,tsetseg01,@m_hishigee Тэнэг хуний сайхан сэтгэл ойлгодоггуй охин бэ?,1,1
13127,desdemona976,Muu teneguud hahahhaha pic.twitter.com/qcHenymumf,0,1
13149,nrita2,@tsogt_tsogt балайн.,0,1
13213,mgltugsuu,gaihamshig urgeljilseer zun bolood uvul bolood deedeesiin teneglel ihseed,0,1
13312,g_ganbaatar,@moroodliinbag @iderbat1 @DavK_Ts ижилхэн бол үнэртэхгүй шдээ,0,1
13364,boluuhai65,Гомдоосныг нь бодохоор үзэн ядмаар байхад мөрөөдөөд уулзмахр санагдаад сандраад догдлоод байх юм өвчин юм боловуу,0,1
13981,enjisq,"@Yumjirdlm оцойсон, ондойсон амьтдыг алаад хаячихдаг тэнэг хүүр вэ",0,1
14026,moogii0503,@hero_bbaatar Manai Borko mundag shuu.naizdaa amjilt husie,0,1
14038,burenzaya_zaya,Amidraldaa avch bsan tursun udriin hamgiin teneg beleg... pic.twitter.com/Pvp85YWYNF,0,1
14144,suvderdened,"""@MrBazaraa: Сэтгэлгүй гэрлэлт бол хууль ёсны янханчлал...""",1,1
14173,tulga64474356,@martahgvi @AOchir балайен чшшшш🙊,0,1
14317,munkhbld,"УБ-т юу хэцүү вэ?
Машинаа маллах л хэцүү болж кк
УБ-т юуг үзэн ядаж бна?
Машиныг
Дайруулчихгүй бол Явган явах сайхан болж",1,1
14328,bohiintusl,"@medeemn @BattulgaKh darga nar namiinhaa neriig barij shiidwer gargadag, namiin gishuun n bid shiideegui gej bulzdag",0,1
14352,nrita2,@anhniiindigo тэгж л балрав. Хамаг сайхан үгээ урсгаад балайн байлээ,1,1
14371,ariukaa55,Нисдэг йогийн дамжаа байна цаана чинь😂😂😂#түгжирч энэ тэр тэнэгтэхгүй байх нь байна шд👼нисэн буугаал. Кккк pic.twitter.com/bwcVIP7DEo,0,1
14375,g_ganbaatar,@soyolerdenee тиймээ зориуд гуйвуулдаг гарууд байна ТТ ашигтай бол эсэргүүцэх тэнэг монгол байхгүй шдээ,1,1
14459,btsendsuren,@batengineer ingej myyxai xonzognood uuruu bas teneg bolchixov doo,0,1
14485,panmongolism,"@MASSOfficialMN Экспортлоход авах газар нь л болно, авна гэсэн бол манайх стандарт энэ тэр гэж тэнэгтэх шаардлагагүй штэ",0,1
14882,nrita2,Хэрбалайф-д үнэхээр донтдог юм байнаа. Улам л нэмэгдээд байх болтоймаа. #herbalife,0,1
14930,uuree_aur,@tsagaan_gart 😡 харицан бн тхууу,0,1
14942,badgaa2,@ist111110 @BattulgaKh ЭЗийн үр ашгийн тооцоолол хийгдсэн бгаа,0,1
14949,binderiya19,Жиргэхгүй байсаар байгаад бүр гэрэвшээд байноо. Фав авангуутаа ичингүйрэн балайрч малайрч.,11,1
15024,lwchp,Odoo uneheer bolyoooooo arai2,1,1
15282,alagshagai,"Нийгэм ЛЕСБИ, гомо, трансжендер, бисексуаль ХҮМҮҮСИЙН талаар зөв мэдээлэлтэй, МЭДЛЭГТЭЙ байх хэрэгтэй. Тэднийг гадуурхах, үзэн ядах УТГАГҮЙ.",1,1
15300,at_mubi,"Хамгийн тэнэг хүсэл бол хүн бүрт таалагдах хүсэл 
 https://www.facebook.com/nara.munkhtur/posts/950161258350047 …",0,1
15324,boluuhai65,Дургүй бол битгий харьц үзэн ядан2 харьцаж яадаг байнаа,0,1
15460,baysaaamaraa,@0427_bab зарах тэнэг нь бхад авах маанаг нь бдаг гэдэг дээ.,0,1
15463,g_ganbaatar,"""ТЭНЭГ""үүдэд ухаарал,сургаал,титэм үг хэлэхээс цаашгүй  УХААНТАНууд тэнэгээсээ илүү ТЭНЭГ болой-Ганбаахмулла хэлжээ",0,1
15468,g_ganbaatar,"ТЭНЭГүүдэд ухаарал,сургаал,титэм үг хэлэхээс цаашгүй  УХААНТАНууд тэнэгээсээ илүү ТЭНЭГ болой-Ганбаахмулла хэлжээ",2,1
15518,g_ganbaatar,@Enkhbayar_bat @Uyanga_ts шон шаачихсан байна шдээ хажууд нь би байсан бол насосдуулах байж,0,1
15522,doogii976,Янаг ихэдвэл Тэнэг ихэднэ.,4,1
16076,therockme_,Манай улсын хөлбөмбөгийн шигшээ дэлхийн чансаагаар 189-р байрнаас ухарч 200 бичигдсэн байна 😡 😡 😡,0,1
16158,erxsaran13,Бүр хэтэрхий анхаарал сарних орчинд балайма @TesoCorp -н тестэнд 9минутын дотор уначихдаг :-P ахин өгх 1 л боломжтой гэнэ #mocha ухгүй өгх.с,0,1
16339,mrbatmanlai,"@Shinebayar1024 
Хувийн секторын ажил яаж явдагийг мэдкү хулгайчууд албан тушаалаараа бизнес хийхдээ их завхаруулж байгаамдаа.",0,1
